date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:35:36	7773/7773	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:02:16%20GMT	http://www.hashdog.com/brochure/img/ruby.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/ruby.png	(from )
23:35:37	5356/5356	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:02:19%20GMT	http://www.hashdog.com/brochure/img/rubyonrails.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/rubyonrails.png	(from )
23:35:37	5415/5415	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:02:10%20GMT	http://www.hashdog.com/brochure/img/mysql.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/mysql.png	(from )
23:35:38	9548/9548	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:02:20%20GMT	http://www.hashdog.com/brochure/img/sinatra_padrino.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/sinatra_padrino.png	(from )
23:35:39	8132/8132	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:02:14%20GMT	http://www.hashdog.com/brochure/img/postgresql.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/postgresql.png	(from )
23:35:39	4609/4609	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:02:09%20GMT	http://www.hashdog.com/brochure/img/mongo.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/mongo.png	(from )
23:35:39	10896/10896	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:02:21%20GMT	http://www.hashdog.com/brochure/img/sql_server.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/sql_server.png	(from )
23:35:40	5136/5136	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:01:56%20GMT	http://www.hashdog.com/brochure/img/couchdb.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/couchdb.png	(from )
23:35:40	7246/7246	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:02:16%20GMT	http://www.hashdog.com/brochure/img/redis.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/redis.png	(from )
23:35:41	10220/10220	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:02:13%20GMT	http://www.hashdog.com/brochure/img/php.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/php.png	(from )
23:35:41	6070/6070	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:02:07%20GMT	http://www.hashdog.com/brochure/img/memcached.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/memcached.png	(from )
23:35:41	6206/6206	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:02:20%20GMT	http://www.hashdog.com/brochure/img/sphinx.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/sphinx.png	(from )
23:35:42	7908/7908	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:01:58%20GMT	http://www.hashdog.com/brochure/img/elasticsearch.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/elasticsearch.png	(from )
23:35:42	4809/4809	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:01:50%20GMT	http://www.hashdog.com/brochure/img/chef.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/chef.png	(from )
23:35:43	9413/9413	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:02:15%20GMT	http://www.hashdog.com/brochure/img/puppet.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/puppet.png	(from )
23:35:43	3329/3329	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202014%2016:01:51%20GMT	http://www.hashdog.com/brochure/img/circleci.png	/home/eroica/websites/slides/www.hashdog.com/brochure/img/circleci.png	(from )
